iter	Passed	Remaining
0	0	97
1	1	57
2	1	44
3	1	36
4	1	31
5	1	29
6	2	27
7	2	25
8	2	24
9	2	24
10	2	23
11	3	22
12	3	21
13	3	21
14	3	20
15	3	20
16	4	20
17	4	19
18	4	19
19	4	18
20	4	18
21	5	18
22	5	17
23	5	17
24	5	17
25	5	16
26	6	16
27	6	16
28	6	16
29	6	15
30	6	15
31	7	15
32	7	15
33	7	14
34	7	14
35	8	14
36	8	14
37	8	13
38	8	13
39	8	13
40	9	12
41	9	12
42	9	12
43	9	12
44	9	11
45	9	11
46	10	11
47	10	11
48	10	10
49	10	10
50	10	10
51	10	10
52	11	9
53	11	9
54	11	9
55	11	9
56	11	8
57	12	8
58	12	8
59	12	8
60	12	8
61	12	7
62	13	7
63	13	7
64	13	7
65	13	7
66	13	6
67	14	6
68	14	6
69	14	6
70	14	6
71	14	5
72	15	5
73	15	5
74	15	5
75	15	4
76	16	4
77	16	4
78	16	4
79	16	4
80	17	3
81	17	3
82	17	3
83	17	3
84	17	3
85	18	2
86	18	2
87	18	2
88	18	2
89	18	2
90	19	1
91	19	1
92	19	1
93	19	1
94	19	1
95	20	0
96	20	0
97	20	0
98	20	0
99	20	0
