iter	Passed	Remaining
0	57	57274
1	57	28760
2	57	19248
3	58	14506
4	58	11641
5	58	9756
6	59	8389
7	59	7370
8	59	6580
9	60	5944
10	60	5422
11	60	4990
12	60	4628
13	61	4311
14	61	4041
15	61	3798
16	62	3586
17	62	3398
18	62	3230
19	62	3077
20	63	2939
21	63	2814
22	63	2702
23	63	2597
24	64	2501
25	64	2410
26	64	2328
27	64	2250
28	65	2179
29	65	2113
30	65	2051
31	65	1991
32	66	1936
33	66	1884
34	66	1834
35	66	1788
36	67	1745
37	67	1704
38	67	1665
39	67	1627
40	68	1590
41	68	1555
42	68	1522
43	68	1491
44	68	1461
45	69	1432
46	69	1404
47	69	1379
48	69	1355
49	70	1332
50	70	1309
51	70	1286
52	70	1265
53	71	1244
54	71	1224
55	71	1204
56	71	1186
57	71	1168
58	72	1150
59	72	1134
60	72	1118
61	72	1103
62	73	1088
63	73	1074
64	73	1059
65	73	1045
66	74	1032
67	74	1020
68	74	1007
69	74	996
70	75	984
71	75	972
72	75	961
73	76	951
74	76	940
75	76	930
76	76	920
77	77	910
78	77	901
79	77	892
80	77	883
81	78	874
82	78	863
83	78	855
84	78	847
85	78	838
86	79	830
87	79	822
88	79	815
89	79	808
90	80	800
91	80	793
92	80	786
93	80	779
94	81	771
95	81	765
96	81	758
97	81	752
98	82	746
99	82	740
100	82	734
101	82	728
102	82	722
103	83	717
104	83	711
105	83	706
106	84	701
107	84	697
108	84	692
109	84	687
110	85	682
111	85	677
112	85	672
113	85	667
114	86	663
115	86	659
116	86	654
117	86	649
118	87	645
119	87	640
120	87	636
121	87	631
122	88	628
123	88	623
124	88	620
125	88	616
126	89	612
127	89	608
128	89	604
129	89	600
130	90	597
131	90	594
132	90	590
133	90	587
134	91	583
135	91	580
136	91	576
137	91	573
138	92	570
139	92	567
140	92	564
141	92	560
142	92	557
143	93	553
144	93	550
145	93	547
146	93	545
147	94	542
148	94	539
149	94	536
150	94	534
151	95	531
152	95	528
153	95	526
154	95	523
155	96	520
156	96	518
157	96	515
158	96	512
159	97	510
160	97	507
161	97	504
162	97	501
163	97	499
164	98	497
165	98	494
166	98	492
167	98	490
168	99	487
169	99	485
170	99	482
171	99	480
172	100	478
173	100	476
174	100	474
175	100	471
176	101	470
177	101	467
178	101	466
179	101	464
180	102	461
181	102	459
182	102	458
183	102	456
184	103	454
185	103	452
186	103	450
187	103	448
188	104	446
189	104	444
190	104	443
191	104	441
192	105	439
193	105	437
194	105	436
195	105	434
196	106	432
197	106	430
198	106	429
199	106	427
200	107	425
201	107	424
202	107	422
203	107	420
204	108	419
205	108	417
206	108	416
207	108	414
208	109	413
209	109	411
210	109	409
211	109	408
212	110	406
213	110	405
214	110	403
215	111	403
216	111	402
217	111	401
218	112	399
219	112	398
220	112	396
221	112	395
222	113	393
223	113	392
224	113	390
225	113	389
226	113	388
227	114	386
228	114	385
229	114	384
230	115	382
231	115	381
232	115	380
233	115	378
234	115	377
235	116	376
236	116	374
237	116	373
238	116	372
239	117	371
240	117	370
241	117	368
242	118	367
243	118	366
244	118	365
245	118	363
246	118	362
247	119	361
248	119	360
249	119	359
250	119	357
251	120	356
252	120	355
253	120	354
254	121	353
255	121	352
256	121	351
257	121	350
258	122	349
259	122	348
260	122	346
261	122	345
262	122	344
263	123	343
264	123	342
265	123	341
266	124	340
267	124	339
268	124	338
269	124	337
270	125	336
271	125	335
272	125	334
273	126	333
274	126	332
275	126	332
276	126	331
277	127	330
278	127	329
279	127	328
280	127	327
281	128	326
282	128	325
283	128	324
284	128	323
285	129	322
286	129	321
287	129	320
288	129	319
289	129	318
290	130	317
291	130	316
292	130	315
293	131	314
294	131	313
295	131	312
296	131	312
297	132	311
298	132	310
299	132	309
300	132	308
301	133	307
302	133	306
303	133	305
304	133	305
305	134	304
306	134	303
307	134	302
308	134	301
309	135	300
310	135	299
311	135	299
312	135	298
313	136	297
314	136	296
315	136	295
316	136	295
317	137	294
318	137	293
319	137	292
320	137	291
321	138	290
322	138	289
323	138	289
324	138	288
325	139	287
326	139	287
327	139	286
328	140	285
329	140	284
330	140	284
331	140	283
332	141	282
333	141	281
334	141	281
335	141	280
336	142	279
337	142	278
338	142	278
339	142	277
340	143	276
341	143	275
342	143	274
343	143	274
344	144	273
345	144	272
346	144	271
347	144	271
348	145	270
349	145	269
350	145	269
351	145	268
352	146	267
353	146	266
354	146	266
355	146	265
356	146	264
357	147	263
358	147	263
359	147	262
360	147	261
361	148	261
362	148	260
363	148	259
364	148	258
365	149	258
366	149	257
367	149	257
368	149	256
369	150	255
370	150	254
371	150	254
372	150	253
373	151	253
374	151	252
375	151	251
376	151	250
377	152	250
378	152	249
379	152	248
380	152	248
381	153	247
382	153	246
383	153	246
384	153	245
385	154	245
386	154	244
387	154	243
388	154	243
389	155	242
390	155	242
391	155	241
392	155	240
393	156	240
394	156	239
395	156	238
396	156	238
397	157	237
398	157	237
399	157	236
400	157	235
401	158	235
402	158	234
403	158	233
404	158	233
405	159	232
406	159	232
407	159	231
408	159	230
409	159	230
410	160	229
411	160	228
412	160	228
413	160	227
414	161	227
415	161	226
416	161	225
417	161	225
418	162	224
419	162	224
420	162	223
421	162	222
422	163	222
423	163	221
424	163	221
425	163	220
426	164	220
427	164	219
428	164	219
429	164	218
430	165	217
431	165	217
432	165	216
433	165	216
434	166	215
435	166	215
436	166	214
437	166	213
438	166	213
439	167	212
440	167	212
441	167	211
442	167	211
443	168	210
444	168	210
445	168	209
446	168	208
447	169	208
448	169	207
449	169	207
450	169	206
451	170	206
452	170	205
453	170	205
454	170	204
455	171	204
456	171	203
457	171	203
458	171	202
